hwdR;posR;schAccentR_Walker;schAccentR_Buchanan
spokesman;noun;1-0;1-0-0
spoliate;verb;1-0-0;1-0
spontaneity;noun;0-0-1-0-0;0-1-0-0-0
spontaneousness;noun;0-1-0-0-0;0-1-0-0
sportiveness;noun;1-0-0;1-0-0-0
springiness;noun;1-0-1-0-0;1-1-0
springle;noun;1-0;1
sprucebeer;noun;0-1;1-0
spruceness;noun;1-0;1-0-0
spunging-house;noun;1-0-0;
spurn;verb;0;1
squabbler;noun;1-0-0;1-0
stagecoach;noun;0-1;1-0
staleness;noun;1-0;1-0-0
staple;noun;1-0;1
staple;noun;1-0;1
startle;verb;1-0;1
stateliness;noun;1-0-0;1-0-0-0
statesman;noun;1-0;1-0-0
stateswoman;noun;1-0-0;1-0-0-0
staves;noun;0;0-0
stayedness;noun;1-0;1-0-0
steeple;noun;1-0;1
stickler;noun;1-0-0;1-0
stifle;verb;1-0;0
stiletto;noun;0-1-0;1-0-0
stipendiary;noun;0-1-0-0-0;1-0-0-0
stonechatter;noun;1-0-0;1-0-0-0
stonecrop;noun;1-0;1-0-0
stonecutter;noun;1-0-0;1-0-0-0
stonehawk;noun;1-0;1-0-0
stonehorse;noun;1-0;1-0-0
stonepit;noun;1-0;1-0-0
stonepitch;noun;1-0;1-0-0
stoneplover;noun;1-0-0;1-0-0-0
stonework;noun;1-0;1-0-0
storehouse;noun;1-0;1-0-0
straggler;noun;1-0-0;1-0
strangeness;noun;1-0;1-0-0
strangle;verb;1-0;1
strangler;noun;1-0-0;1-0
stubble;noun;1-0;1
studiousness;noun;1-0-0-1-0-0-0;1-0-0-0
stumbler;noun;1-0-0;1-0
subbeadle;noun;0-1-0;0-1
subdivide;verb;0-0-1;1-0-0
submissiveness;noun;0-1-0-0;0-1-0-0-0
substantiate;verb;0-1-0-0;0-1-0
subtend;verb;0-1;1-0
subtileness;noun;1-0-0;1-0-0-0
subtiliate;verb;0-1-0;0-1-0-0
subtiliation;noun;0-0-1-0;0-0-0-1-0
subtract;verb;0-1;1-0
subvert;verb;0-1;1-0
succedaneum;noun;0-0-1-0-0;0-0-1-0
successiveness;noun;0-1-0-0;0-1-0-0-0
successor;noun;1-0-0-1-0;1-0-0
suckingbottle;noun;1-0-0-0;1-0-0
suckle;verb;1-0;1
suffice;verb;0-1;1-0
suitableness;noun;1-0-0-0;1-0-0
sunrising;noun;1-0-0;0-1-0
superlativeness;noun;0-1-0-0-0;0-0-0-0-0
supine;noun;1-0;0-1
supineness;noun;0-1-0;0-1-0-0
supportableness;noun;0-1-0-0-0;0-1-0-0
suraddition;noun;0-0-1-0;1-0-0-0
surcingle;noun;1-0-0;0-1
surcle;noun;1-0;1
sureness;noun;1-0;1-0-0
suretiship;noun;1-0-0;1-0-0-0
surety;noun;1-0;1-0-0
surplusage;noun;1-0-0;0-1-0
swaddle;verb;1-0;1
sweetener;noun;1-0-0;1-0
sweetwilliam;noun;0-1-0;1-0-0
sweetwillow;noun;0-1-0;1-0-0
swineherd;noun;1-0;1-0-0
swinepipe;noun;1-0;1-0-0
swingebuckler;noun;0-1-0;1-0-0-0
symbolize;verb;1-0-0;0-0-1
syncope;noun;1-0-0;1-0
syndrome;noun;1-0-0;1-0
synecdoche;noun;0-1-0-0;0-1-0
synthesis;noun;1-0-0;0-1-0
syringotomy;noun;0-0-1-0-0;1-0-0-0-0
systole;noun;1-0-0;1-0
tabernacle;noun;1-0-0-0;1-0-0
tabler;noun;1-0-0;1-0
tabourine;noun;0-0-1;1-0-0
tackle;noun;1-0;1
talebearer;noun;1-0-0;0-1-0
talebearing;noun;1-0-0;0-1-0
talkativeness;noun;1-0-0-0;1-0-0-0-0
tameness;noun;1-0;1-0-0
tangle;verb;1-0;1
tapestry;noun;1-1-0-0;1-0-0
tastelessness;noun;1-0-0;1-0-0-0
tattler;noun;1-0-0;1-0
teachableness;noun;1-0-0-0;1-0-0
tediousness;noun;1-0-0-1-0-0-0;1-0-0
temperateness;noun;1-0-0-0;1-0-0-0-0
temple;noun;1-0;1
temporizer;noun;1-0-0-0;0-0-1-0
tenseness;noun;1-0;1-0-0
ternion;noun;1-0-0;1-0
testicle;noun;1-0-0;1-0
tetrarch;noun;1-1-0;1-0
thankoffering;noun;1-0-0-0;0-1-0-0
thanksgiving;noun;1-0-0;0-1-0
themselves;noun;0-1;0-1-0
theologue;noun;1-0-0;0-1-0
theology;noun;0-1-0-0;1-0-0-0
theomachy;noun;0-1-0-0;1-0-0-0
thievery;noun;1-0-0;1-0
thimble;noun;1-0;1
thistle;noun;1-0;1
thornapple;noun;1-0-0;1-0
thornback;noun;1-0;0-1
thrapple;noun;1-0;1
thrashing-floor;noun;1-0-0;
threatener;noun;1-0-0;1-0
throstle;noun;1-0;1
tiara;noun;0-1-0;1-0-0
tickle;verb;1-0;1
tidegate;noun;1-0;1-0-0
tidesman;noun;1-0;1-0-0
tippler;noun;1-0-0;1-0
tiredness;noun;1-0;1-0-0
tiresomeness;noun;1-0-0;1-0-0-0-0
tirewoman;noun;1-0-0;1-0-0-0
titbit;noun;1-0;0-1
tittle;noun;1-0;1
tollgatherer;noun;1-0-0-0;0-1-0-0
topsail;noun;1-0;0-1
tormentil;noun;0-1-0;1-0-0
touch-hole;noun;1-0;
touchmenot;noun;1-0-0;0-0-0
townhouse;noun;1-0;0-1
trade-wind;noun;1-0;
tradesfolk;noun;1-0;1-0-0
tradesman;noun;1-0;1-0-0
traducement;noun;0-1-0;0-1-0-0
trainbands;noun;1-0;0-1
trainoil;noun;1-0;0-1
trample;verb;1-0;1
trampler;noun;1-0-0;1-0
transientness;noun;1-0-0-0;1-0-0
transition;noun;0-1-0-1-0;0-1-0
transubstantiate;verb;0-0-1-0-0;0-0-1-0
trapes;noun;0;0-0
treacle;noun;1-0;1
trendle;noun;1-0;1
trestle;noun;1-0;1
triangle;noun;1-0-0;0-1
trifler;noun;1-0-0;1-0
tripod;noun;1-1-0;1-0
trireme;noun;1-0;0-1
trisulc;noun;1-0;0-1
triteness;noun;1-0;1-0-0
triumpher;noun;1-0-0;0-1-0
troubler;noun;1-0-0;1-0
troublesomeness;noun;1-0-0-0;1-0-0
truepenny;noun;1-0-0;0-1-0
truffle;noun;1-0;1
trundle;verb;1-0;1
trunk-hose;noun;1-0;
tubercle;noun;1-0-0;1-0
tuberose;noun;1-0;1-0-0
tumbler;noun;1-0-0;1-0
tunicle;noun;1-0-0;1-0
turkscap;noun;0-1;1-0
turnpike;noun;1-0;0-1
turtle;noun;1-0;1
tweedle;verb;1-0;1
twelvepence;noun;1-0;1-0-0
twelvescore;noun;1-0;1-0-0
twidle;verb;1-0;1
tyrannicide;noun;0-1-0-0;1-0-0-0
umbrageousness;noun;0-1-0-0-0;0-1-0-0
unacceptableness;noun;0-1-0-0-0-0;0-0-1-0-0
unaccessibleness;noun;0-0-1-0-0-0;0-0-1-0-0
unattainableness;noun;0-0-1-0-0-0;0-0-1-0-0
unbuckle;verb;0-1-0;0-1
unchangeableness;noun;0-1-0-0-0;0-1-0-0
uncharitableness;noun;0-1-0-0-0-0;0-1-0-0-0
uncle;noun;1-0;1
uncomeliness;noun;0-1-0-0;0-1-0-0-0
uncomfortableness;noun;0-1-0-0-0-0;0-1-0-0-0
unconceivableness;noun;0-0-1-0-0-0;0-0-1-0-0
unconcernedness;noun;0-0-1-0;0-0-1-0-0
uncouple;verb;0-1-0;0-1
uncreate;verb;0-0-1;0-0-1-0
underclerk;noun;1-0-0;0-0-1
underfellow;noun;1-0-0-0;0-0-1-0
underpin;verb;0-0-1;1-0-0
underrate;noun;1-0-0;0-0-1
undersetter;noun;0-0-1-0;0-0-0-0
undersong;noun;1-0-0;0-0-1
understrapper;noun;1-0-0-0;0-0-1-0
underwork;verb;0-0-1;1-0-0
unfashionableness;noun;0-1-0-0-0-0;0-1-0-0-0
ungentleness;noun;0-1-0-0;0-1-0
ungratefulness;noun;0-1-0-0;0-1-0-0-0
uninhabitableness;noun;0-0-1-0-0-0-0;0-0-1-0-0-0
union;noun;1-0-0;1-0
unjustifiableness;noun;0-1-0-0-0-0-0;0-1-0-0-0-0
unlikeliness;noun;0-1-0-0;0-1-0-0-0
unlikeness;noun;0-1-0;0-1-0-0
unloveliness;noun;0-1-0-0;0-1-0-0-0
unmingle;verb;0-1-0;0-1
unmuffle;verb;0-1-0;0-1
unmuzzle;verb;0-1-0;0-1
unparliamentariness;noun;0-0-0-1-0-0-0;0-1-0-0-0-0-0
unpeople;verb;0-1-0;0-1
unprofitableness;noun;0-1-0-0-0-0;0-1-0-0-0
unquenchableness;noun;0-1-0-0-0;0-1-0-0
unreasonableness;noun;0-1-0-0-0-0;0-1-0-0-0
unriddle;verb;0-1-0;0-1
unrighteousness;noun;0-1-0-0-0;0-1-0-0
unripeness;noun;0-1-0;0-1-0-0
unruffle;verb;0-1-0;0-1
unsatisfiedness;noun;0-1-0-0-0;0-1-0-0-0-0
unsearchableness;noun;0-1-0-0-0;0-1-0-0
unseasonableness;noun;0-1-0-0-0-0;0-1-0-0-0
unsettle;verb;0-1-0;0-1
unsuitableness;noun;0-1-0-0-0;0-1-0-0
untangle;verb;0-1-0;0-1
untractableness;noun;0-1-0-0-0;0-1-0-0
unusualness;noun;0-1-0-0-0;0-1-0-0
uproot;verb;0-1;1-0
usefulness;noun;1-0-0;1-0-0-0
uselessness;noun;1-0-0;1-0-0-0
usualness;noun;1-0-0-0;1-0-0
utensil;noun;0-1-0;1-0-0
vacillancy;noun;1-0-0-0;0-1-0-0
vagary;noun;0-1-0;1-0-0
valerian;noun;0-1-0-0;0-1-0
valet;noun;1-0-1;1-0
valve;noun;0;1
vancourier;noun;0-0-1;1-0-0-0
vanguard;noun;0-1;1-0
variableness;noun;1-0-0-0-0;1-0-0-0
vase;noun;0;1
vegetativeness;noun;1-0-0-0-0;1-0-0-0-0-0
vehicle;noun;1-0-0;1-0
velure;noun;0-1;1-0
venerator;noun;1-0-0-0;0-0-1-0
venialness;noun;1-0-0-0;1-0-0
venison;noun;1-1-0-0;1-0-0
ventilator;noun;1-0-0-0;0-0-1-0
ventricle;noun;1-0-0;1-0
verseman;noun;1-0;1-0-0
vertebre;noun;1-0-0;1-0
vertigo;noun;0-1-0-1-1-0-0;1-0-0
vesicle;noun;1-0-0;1-0
viceadmiral;noun;0-1-0-0;1-0-0-0
viceadmiralty;noun;0-1-0-0-0;1-0-0-0-0
vicegerent;noun;0-1-0;0-0-1-0
vicegerency;noun;0-1-0-0;0-0-1-0-0
vicechancellor;noun;0-1-0-0;0-0-1-0-0
viceroyalty;noun;0-1-0-0;1-0-0-0
vicinity;noun;0-1-0-0-1-0-0;0-1-0-0
vicissitude;noun;0-1-0-0-1-0-0;0-1-0-0
victoriousness;noun;0-1-0-0-0;0-1-0-0
vileness;noun;1-0;1-0-0
vindicator;noun;1-0-0-0;0-0-1-0
violator;noun;1-0-0-0;0-0-1-0
violin;noun;0-0-1;1-0-0
virago;noun;0-1-0-1-0;0-1-0
virge;noun;0;1
virility;noun;0-1-0-0-1-0-0;0-1-0-0
vituperate;verb;0-1-0-0-1-0-0;0-1-0-0
vituperation;noun;0-0-0-1-0-0-0-1-0;0-0-0-1-0
vivacity;noun;0-1-0-0-1-0-0;0-1-0-0
wallcreeper;noun;1-0-0;0-1-0
wallrue;noun;1-0;0-1
warble;verb;1-0;1
warbler;noun;1-0-0;1-0
warrantableness;noun;1-0-0-0-0;1-0-0-0
wastefulness;noun;1-0-0;1-0-0-0
watergruel;noun;1-0-0-0;0-0-1-0
waterrocket;noun;1-0-0-0;0-0-1-0
watersapphire;noun;1-0-0-0;0-0-1-0
wattle;verb;1-0;1
weakside;noun;0-1;1-0
weathergage;noun;1-0-0;0-0-1
weatherspy;noun;1-0-0;0-0-1
welcomeness;noun;1-0-0;1-0-0-0
wharf;noun;0;1
whereness;noun;1-0;1-0-0
whiffler;noun;1-0-0;1-0
whistle;noun;1-0;1
whistler;noun;1-0-0;1-0
whiteness;noun;1-0;1-0-0
whitewine;noun;1-0;1-0-0
whittle;noun;1-0;1
wholesale;noun;1-0;1-0-0
wholesomeness;noun;1-0-0;1-0-0-0-0
whoredom;noun;1-0;1-0-0
whoremonger;noun;1-0-0;0-0-1-0
whoreson;noun;1-0;1-0-0
whynot;noun;1-0;0-1
wideness;noun;1-0;1-0-0
widowhunter;noun;1-0-0-0;0-0-1-0
widowmaker;noun;1-0-0-0;0-0-1-0
wimple;noun;1-0;1
windpipe;noun;1-1-0;1-0
wire;noun;1-0;0
withdrawing-room;noun;0-1-0-0;
withe;noun;0;1
witheredness;noun;1-0-0;1-0-0-0
witsnapper;noun;1-0-0;0-1-0
wives;noun;0;0-0
womanhater;noun;1-0-0-0;0-0-1-0
womankind;noun;1-0-0;0-0-1
womb;noun;0;1
woodnymph;noun;1-0;0-1
woodoffering;noun;1-0-0-0;0-1-0-0
woodpigeon;noun;1-0-0;0-1-0
woodroof;noun;1-0;0-1
wrangler;noun;1-0-0;1-0
wriggle;verb;1-0;1
wrinkle;noun;1-0;1
writingmaster;noun;1-0-1-0;1-0-0-0
wrongdoer;noun;1-0-0;0-1-0
yokemate;noun;1-0;1-0-0
zealot;noun;1-1-0;1-0
zealousness;noun;1-0-1-0-0;1-0-0
zechin;noun;0-1;1-0
zoophyte;noun;1-0-0;0-1-0
